id:ID(Comment)|creationDate:LONG|locationIP:STRING|browserUsed:STRING|content:STRING|length:INT
274877907790|20101005205308425|31.185.10.92|Internet Explorer|cool|4
274877907791|20101005125108409|31.24.100.159|Firefox|About Marin Čilić,  Open. Čilić About Cambodia, ia gained indAbout Fyodor Dostoyevsky|85
274877907792|20101006001224803|192.190.31.253|Chrome|great|5
274877907965|20101019204614758|197.220.203.36|Firefox|right|5
274877907966|20101020051832223|1.2.2.77|Firefox|yes|3
274877907967|20101019215034756|197.220.203.36|Firefox|no|2
274877907968|20101020092403400|41.203.147.168|Internet Explorer|About Hungarian Soviet Republic, formed in Europe after the October Revolution in Russia brought the Bolsheviks to power. The successor to the state was the Hungarian Peopl|172
274877907969|20101019230804884|1.2.2.77|Firefox|maybe|5
343597384706|20101021041413265|197.220.203.36|Firefox|thanks|6
343597384707|20101020125731007|197.220.203.36|Firefox|I see|5
274877907972|20101020094445976|197.220.203.36|Firefox|ok|2
274877907973|20101020092612733|41.203.147.168|Internet Explorer|About Karl Marx, n's Association. Marx's theories about socAbout Bertolt Brecht, e|82
343597384710|20101020121803222|78.41.117.12|Internet Explorer|About Karl Marx, at, like previous socioeconAbout Bertolt Brecht,  wife, long-ti|80
274877907975|20101020093716902|203.215.63.48|Firefox|LOL|3
343597384712|20101021055857707|41.74.150.41|Firefox|thx|3
274877907978|20101019094651995|41.74.150.41|Firefox|About Patti Smith, Night, which was co-written with Bruce Springsteen and reached |82
274877907979|20101019132215130|197.220.203.36|Firefox|About Patti Smith, ber 13 on the Billboard Hot 100 chart in 1About Glass Onion, t t|83
343597384736|20101125045747133|196.29.42.107|Firefox|About Dacia, , was destroyed by the Romans, but its name was added to that of the new city|90
343597384739|20101125114503242|197.220.203.36|Firefox|good|4
343597384741|20101125092650136|196.29.42.107|Firefox|thanks|6
343597384742|20101125065911771|41.214.218.190|Safari|About Karl Marx,  purely for their own benefit, and preAbout Jersey, ritish|75
343597384743|20101125060941782|27.98.220.136|Firefox|thanks|6
343597384745|20101125095624586|49.206.89.61|Safari|great|5
343597384748|20101125052818768|196.29.42.107|Firefox|About Karl Marx, e nature of society and how he believedAbout Muswell Hillbi|76
343597384749|20101125080830443|200.58.136.106|Firefox|thx|3
343597384756|20101109190335736|24.38.139.231|Firefox|no|2
343597384757|20101109001617880|27.122.45.252|Internet Explorer|right|5
343597384758|20101109003516048|203.215.63.48|Firefox|yes|3
343597384759|20101109025430236|31.209.179.5|Firefox|About Norway, ining the EU. Key domestic issues include immigration and integrat|80
343597384760|20101109002008321|27.131.221.93|Internet Explorer|LOL|3
343597384761|20101109003330254|203.215.63.48|Firefox|great|5
343597384762|20101109112337845|31.192.132.124|Firefox|yes|3
343597384763|20101109002748056|196.29.42.107|Firefox|no way!|7
343597384764|20101109221334682|27.116.33.147|Safari|thanks|6
343597384765|20101109114555296|1.29.220.142|Chrome|right|5
343597384766|20101109065247117|1.29.220.142|Chrome|About Echoes: The Best of Pink Floyd, tates through Capitol Records. It debuted aAbou|85
